,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.23530198883,922,[ 6.16881889  5.81935493],[ 6.25812705  8.81519248],10.8107248869
1,0.235301988797,9,[-4.31347054 -9.00111069],[-6.25811871 -8.81519309],10.8107205552
2,0.216109877284,9,[-8.55950735 -5.97448882],[-9.38720862 -4.40760862],10.3704724732
3,0.314568802638,15,[ 12.99614879   0.77942464],[  1.25162845e+01   1.20004153e-05],12.5162845377
4,0.235301988798,8,[-8.33192679  9.58497052],[-6.25811827  8.81519314],10.8107203409
5,0.53067799357,12,[ 15.76735241  -2.07080438],[ 15.64532152  -4.40756363],16.2543133499
6,0.530677993568,17,[-16.75644226  -5.26338163],[-15.64532152  -4.40756324],16.2543132431
7,0.235301988797,9,[-6.98751218  9.05525025],[-6.25811878  8.81519306],10.8107205752
8,0.078642249872,14,[-7.10814664 -1.76446199],[ -6.25815009e+00   1.91109087e-05],6.25815009173
9,0.864435669935,13,[ 18.92877908   6.62186664],[ 18.77429371   8.81502894],20.7407531065
10,0.941199925912,700,[ 14.15758017  15.99123092],[ 12.51602373  17.63007659],21.6210649679
11,0.705278093879,1093,[ -4.46955473 -17.41674706],[ -6.25803504 -17.63021029],18.7079479778
12,0.23530198883,813,[-7.2500967   6.58792225],[-6.25812706  8.81519248],10.8107248941
13,0.314568802694,12,[ 14.37257658  -1.9947426 ],[  1.25162845e+01  -1.90652009e-05],12.5162845377
14,0.941199925955,6,[ 14.01254508  18.62881144],[ 12.51603572  17.63005743],21.6210562965
15,0.216109877275,13,[-10.12300988  -7.44509025],[-9.38720858 -4.40757984],10.3704602063
16,1.33440229324,16,[-17.98310856  18.07125648],[-18.77400979  17.6298692 ],25.7541400892
17,0.941199925912,723,[ 12.67466064 -16.39977736],[ 12.51602374 -17.63007658],21.6210649772
18,0.372308229143,10000,[ -2.79683996 -11.8657269 ],[ -3.14710353 -13.22271833],13.5920763959
19,0.864435669958,14,[-18.98829999  -8.95384194],[-18.77429373  -8.81503216],20.7407544909
20,0.530677993553,14,[ 14.09942554  -5.17819699],[ 15.64532151  -4.40756092],16.2543126097
21,0.372429845774,10000,[  2.7299309   11.26185925],[  3.10518063  13.22276144],13.5824727843
22,0.707779067862,9,[ 18.55261071  -1.37857287],[  1.87743876e+01  -1.47148477e-05],18.7743876042
23,0.372477369997,10000,[  3.44720454 -13.64229211],[  3.10326729 -13.22275901],13.5820331266
24,0.864435669948,10,[ 19.60343443   9.31006311],[ 18.77429356   8.81500123],20.7407411976
25,0.471227368105,12,[-13.6233922  -11.53047724],[-12.51622213  -8.81510964],15.3088854725
26,1.4706153915,180,[-16.1810561   19.84829384],[-15.64485802  22.03730181],27.0259921861
27,0.156660218064,10000,[ 0.60781697  8.57818103],[ -4.20333356e-04   8.81521489e+00],8.81521490107
28,0.0588256218932,558,[ 4.12781275  2.74810281],[ 3.12907804  4.40761554],5.40538658802
29,0.216109877259,12,[ 10.06497055   1.70979403],[ 9.38720858  4.4075824 ],10.3704612975
30,0.0786422498264,10,[-5.47187187  1.05556345],[ -6.25815009e+00  -1.35812513e-05],6.25815009172
31,0.372144910421,7,[ -3.85187635 -11.71855008],[ -3.12903382 -13.2227605 ],13.5879449464
32,0.705278093879,2977,[  7.99653598  16.58808641],[  6.25801505  17.63021037],18.7079413594
33,0.23530198883,980,[-7.52692935 -7.3845672 ],[-6.25812705 -8.81519248],10.8107248866
34,0.530677993551,17,[ 14.19520192  -6.05428753],[ 15.64532151  -4.40756056],16.2543125121
35,1.33440229326,11,[ 17.45268519 -17.27532555],[ 18.77400941 -17.62983391],25.7541156519
36,1.4706153915,423,[-16.20106904  18.96960639],[-15.64483796  22.03730204],27.0259807562
37,0.530677993553,16,[ 15.97193285  -8.3895431 ],[ 15.64532146  -4.40753825],16.2543064152
38,0.941199925866,9,[ -9.546516   -18.00816163],[-12.5160308  -17.63007657],21.6210690521
39,0.314568802658,14,[-11.20319678   0.95226757],[ -1.25162845e+01   1.49013941e-05],12.5162845377
40,0.471227368058,17,[-12.41398285 -12.51312884],[-12.51622223  -8.81513695],15.3089012761
41,0.156660244579,10000,[-0.0302432   5.58508307],[ -4.79128142e-04   8.81521489e+00],8.81521490224
42,0.23530198883,278,[ 7.41252485  7.19095889],[ 6.25812709  8.81519248],10.8107249068
43,0.471227368099,15,[-11.80707722   6.3801348 ],[-12.51622213   8.81511032],15.3088858643
44,0.843992571225,15,[-16.04117858  12.42499064],[-15.64516476  13.22254695],20.4843093155
45,1.15605677718,531,[ -9.39708346 -19.67147018],[ -9.38691558 -22.0375273 ],23.9534296853
46,0.0588256218935,378,[ 3.29516829  6.60032984],[ 3.12907809  4.40761554],5.40538661621
47,0.216109877283,7,[ 8.80837895 -6.55750761],[ 9.38720834 -4.40757874],10.3704595251
48,0.156660198285,10000,[-1.35809002 -8.42855834],[  3.70446209e-04  -8.81521489e+00],8.8152149002
49,0.216109877236,9,[-8.42253708  6.97895216],[-9.38720839  4.40758776],10.3704634014
50,0.314568802636,11,[ 12.0123357    2.98575897],[  1.25162845e+01  -1.16310516e-05],12.5162845377
51,0.471227368065,16,[ 14.20422705  -9.99233667],[ 12.51622223  -8.81513837],15.3089020961
52,0.235301988797,8,[ 7.41331348  8.98500786],[ 6.25811839  8.81519318],10.8107204474
53,0.0588256218931,298,[-4.84514381 -5.70638845],[-3.12907803 -4.40761555],5.40538658386
54,0.864435669894,6,[-18.94329165 -10.9706066 ],[-18.77429361  -8.81501478],20.7407470041
55,0.705278093879,2275,[  8.34266574 -16.39623312],[  6.25803504 -17.63021029],18.7079479807
56,0.0786422498169,10,[-6.90377951 -1.0579155 ],[ -6.25815009e+00   1.21101659e-05],6.25815009172
57,0.0588256218932,392,[-2.82233779  1.51053792],[-3.12907804  4.40761554],5.4053865873
58,0.530677993596,15,[ 16.62897294   2.69619355],[ 15.64532145   4.40753227],16.2543047802
59,0.707779067844,19,[ 17.53776493   2.37282446],[  1.87743876e+01  -1.19795375e-05],18.7743876042
60,0.216109877262,16,[ 10.00311805   6.9885392 ],[ 9.38720861  4.40760541],10.3704711069
61,0.0588256218932,291,[ 3.80248522 -5.79240888],[ 3.12907804 -4.40761554],5.40538658734
62,0.529427598421,9,[-10.1400633  -11.73823069],[ -9.38711359 -13.22269328],16.2159649471
63,0.471227368087,16,[ 12.63551353 -10.39827824],[ 12.51622224  -8.81514159],15.3089039575
64,0.23530198883,364,[-4.10164082  8.89093652],[-6.25812705  8.81519248],10.8107248859
65,0.529427598423,2773,[-11.53263523 -11.8354487 ],[ -9.38711703 -13.22269164],16.2159655998
66,1.31583901978,17,[-19.81515218 -14.0680763 ],[-21.90317455 -13.22237394],25.5847655432
67,0.216109877313,13,[-11.99205027   4.11079188],[-9.38720857  4.40757518],10.3704582216
68,1.33440229321,12,[ 17.91437568 -19.05717194],[ 18.77400974 -17.6298649 ],25.7541371099
69,1.33440229325,11,[-18.42205368 -16.85322499],[-18.77400942 -17.62983492],25.7541163482
70,0.843992571262,10,[ 18.23606938  12.61605149],[ 15.64516472  13.22254215],20.4843061932
71,0.314568802696,10,[ 13.12011349  -2.84687621],[  1.25162845e+01  -1.93423419e-05],12.5162845377
72,0.471227368093,15,[-12.9816715   -6.48509531],[-12.51622225  -8.81514244],15.3089044502
73,1.33440229323,11,[ 17.61538187 -19.13331595],[ 18.77400945 -17.62983732],25.7541180103
74,0.86443566993,14,[-18.88806145  -9.78248076],[-18.77429371  -8.81502808],20.7407527393
75,0.471227368066,6,[ 11.31505943   8.89898445],[ 12.51622212   8.8151149 ],15.3088884913
76,0.0588256219026,7,[ 1.11963446  3.78205976],[ 3.12906494  4.40761377],5.40537755889
77,1.15605677718,155,[  9.94828309 -18.9394422 ],[  9.38691561 -22.0375273 ],23.9534296988
78,0.864435669938,12,[-18.82521515   9.50528528],[-18.77429371   8.81502936],20.7407532877
79,0.314568802698,9,[ 12.67304538  -1.6112768 ],[  1.25162845e+01  -1.94623905e-05],12.5162845377
80,0.0786422498139,12,[ 3.39518241 -0.35555969],[  6.25815009e+00  -1.16078544e-05],6.25815009172
81,0.0588256218931,447,[ 4.04058178 -5.89699899],[ 3.12907803 -4.40761555],5.40538658285
82,0.23530198883,215,[ 6.70477326  5.65432245],[ 6.2581271   8.81519247],10.8107249117
83,0.23530198883,852,[-7.84015578  8.5908126 ],[-6.25812706  8.81519248],10.8107248943
84,0.864435669944,14,[ 17.05934204   9.51785731],[ 18.77429372   8.81503021],20.7407536566
85,0.37214721261,10000,[ -4.71333051 -14.77997131],[ -3.12689639 -13.22276211],13.5874544634
86,0.471227368119,13,[-10.12639988  -7.77824459],[-12.51622212  -8.815108  ],15.3088845226
87,0.998777259215,457,[ -3.34465366 -18.43104887],[ -3.128988   -22.03763954],22.2586639846
88,0.707779067905,15,[-18.94817446   3.9865652 ],[ -1.87743876e+01   1.97165789e-05],18.7743876041
89,0.707779067833,17,[-16.23952957   0.43634901],[ -1.87743876e+01  -1.00749099e-05],18.7743876042
90,1.33440229321,12,[-19.5871401   19.35409989],[-18.77400948  17.62984056],25.7541202563
91,0.314568802636,11,[ 15.21853278   0.24636412],[  1.25162845e+01  -1.15083430e-05],12.5162845377
92,0.216109877276,15,[ 10.85485979  -3.58119412],[ 9.38720858 -4.40757969],10.3704601424
93,0.156660145569,10000,[-0.59067369  7.47849914],[ -1.79133546e-04   8.81521490e+00],8.81521489788
94,0.314568802634,8,[-12.11239658   1.78919628],[ -1.25162845e+01   1.13165007e-05],12.5162845377
95,0.530677993571,10,[-17.35717954   6.1162854 ],[-15.64532152   4.40756372],16.2543133737
96,0.314568802643,16,[-14.88448416  -0.89037697],[ -1.25162845e+01   1.27228411e-05],12.5162845377
97,0.705278093879,1379,[  4.75889284  19.00059466],[  6.25803504  17.63021029],18.7079479776
98,0.529427598424,8,[  7.33189841 -13.51321742],[  9.38711217 -13.22269337],16.2159641932
99,0.156660129487,6,[ 0.76836212  7.65495374],[ -3.70055056e-06   8.81521461e+00],8.81521461285
100,0.707779067874,12,[ 19.31679924  -0.03192066],[  1.87743876e+01  -1.62510834e-05],18.7743876041
101,0.471227368071,16,[ 11.55152329  11.31285198],[ 12.51622223   8.81513929],15.3089026272
102,0.372144918757,10000,[  5.304455  -14.4036392],[  3.12917024 -13.22275932],13.5879752146
103,0.529427598423,2697,[ -6.67169523 -13.23854975],[ -9.38711703 -13.22269164],16.215965598
104,0.0786422498713,14,[ 8.08763025 -0.69348048],[  6.25815009e+00  -1.90458789e-05],6.25815009173
105,0.372144965448,10000,[ -2.34816579 -14.72101877],[ -3.12870936 -13.22275993],13.5878696772
106,0.864435669935,14,[-17.34176441  -8.38360841],[-18.77429357  -8.81500322],20.7407420526
107,0.372144911181,10000,[-3.29118739  9.37147846],[ -3.12908063  13.22275944],13.5879546935
108,0.216109877301,10,[ 11.9840889    5.34500615],[ 9.38720862  4.40761081],10.3704734085
109,0.156971704048,10000,[ -0.13328396  10.78997255],[ 0.02492928  8.81519335],8.81522860271
110,0.530677993552,9,[-16.20623198   3.89368119],[-15.64532146   4.40753843],16.2543064631
111,0.529427598423,2651,[  9.24319901  10.30902127],[  9.38711703  13.22269164],16.2159655983
112,0.529427598425,6,[ -9.77155437  12.60794016],[ -9.38711737  13.22269053],16.2159648935
113,0.529427598423,1313,[ -8.81040943 -12.24937259],[ -9.38711703 -13.22269164],16.2159656006
114,0.37215134658,10000,[  2.31045259 -13.73358561],[  3.12545517 -13.22276359],13.5871243116
115,0.23530198883,608,[ 6.20794484  5.75764696],[ 6.2581271   8.81519247],10.810724912
116,0.314568802692,16,[-10.44136982  -1.08879918],[ -1.25162845e+01  -1.88979426e-05],12.5162845377
117,0.705278093879,2729,[  4.77369448  16.70265177],[  6.25803503  17.63021029],18.7079479774
118,0.216109877271,17,[-6.74068939 -4.699093  ],[-9.38720861 -4.40760684],10.3704717173
119,0.21610987727,7,[-10.82585727  -5.17345623],[-9.38720835 -4.40758058],10.3704603157
120,0.86443566992,17,[ 16.38904672  -9.05198179],[ 18.7742937   -8.81502629],20.7407519715
121,0.372144912227,10000,[  3.09039851 -13.07753282],[  3.12898049 -13.22275957],13.5879317645
122,0.471227368112,11,[ 14.71386743 -10.40733726],[ 12.51622225  -8.81514462],15.3089057133
123,0.843992571214,15,[ 16.61105149 -12.22772336],[ 15.64516477 -13.22254867],20.4843104364
124,0.23530198883,966,[ -8.20209471 -10.7173288 ],[-6.25812706 -8.81519248],10.8107248915
125,0.53067799356,16,[ 14.88073525   6.5934554 ],[ 15.64532151   4.40756211],16.2543129351
126,0.529427598423,4361,[  7.87252098  11.67926028],[  9.38711703  13.22269164],16.2159655983
127,1.33440229325,11,[ 16.69347923  19.14857425],[ 18.77400942  17.62983446],25.7541160311
128,1.3344022932,14,[ 18.11726875 -15.89586384],[ 18.77400973 -17.62986391],25.7541364205
129,0.941199925865,9,[-13.23789704  18.88553614],[-12.51603112  17.63007657],21.6210692318
130,0.314568802644,10,[ 11.13088022  -0.41083709],[  1.25162845e+01   1.28401618e-05],12.5162845377
131,0.372144928617,10000,[  2.97297868 -13.80888178],[  3.12923179 -13.22275924],13.5879893076
132,0.705278093879,1099,[  5.71699209 -19.94658957],[  6.25803505 -17.63021029],18.7079479829
133,0.941199925912,662,[-12.28612665 -16.61152793],[-12.51602373 -17.63007658],21.6210649711
134,0.471227368077,18,[ 11.75778736 -11.63877861],[ 12.51622224  -8.81514025],15.3089031841
135,0.529427598436,8,[-12.08684242  14.02153254],[ -9.3871205   13.22269328],16.2159689441
136,0.529427598424,6,[  6.71226323  13.48538539],[  9.38711358  13.22269635],16.2159674402
137,0.23530198883,927,[-5.2342288   7.25985351],[-6.25812709  8.81519247],10.8107249094
138,0.626637414718,4193,[ -1.35547786 -17.43329025],[  1.00012714e-05  -1.76302549e+01],17.6302548503
139,0.529427598423,4413,[  7.43406502 -14.40954385],[  9.38711703 -13.22269164],16.2159655996
140,0.23530198883,921,[  6.45093773  11.83187297],[ 6.25812711  8.81519247],10.8107249184
141,0.864435669922,14,[-18.59969827   5.26561066],[-18.77429358   8.81500536],20.7407429719
142,0.0588256218934,505,[-4.69769437 -5.98521368],[-3.12907808 -4.40761554],5.40538661288
143,0.0786422498099,10,[ 6.71543503 -1.17975753],[  6.25815009e+00   1.09115733e-05],6.25815009171
144,0.2161098773,10,[-8.77964111  2.81080993],[-9.38720857  4.4075766 ],10.3704588256
145,0.53067799355,19,[-18.74220754  12.82650998],[-15.64532151   4.40756036],16.254312456
146,0.0786422498751,8,[ 5.12622247 -1.5781722 ],[  6.25815009e+00   1.94316882e-05],6.25815009172
147,0.47122736806,11,[-11.19199181  10.72371188],[-12.51622215   8.81511601],15.3088891556
148,0.529427598423,178,[ -9.8093352   12.15042656],[ -9.38711703  13.22269164],16.2159655987
149,0.372144911659,10000,[ -4.79034592 -14.72612232],[ -3.12909125 -13.22275943],13.5879571262
150,0.372144912163,10000,[  3.08725884 -13.56929827],[  3.12898156 -13.22275957],13.5879320096
151,0.941199925912,145,[ 14.61713106  17.42909166],[ 12.51604375  17.63007644],21.6210764443
152,0.0588256218933,417,[-3.43552034  7.02615649],[-3.12907807  4.40761554],5.4053866041
153,0.86443566994,13,[ 16.74365667   9.94586444],[ 18.77429371   8.8150297 ],20.7407534331
154,0.843992571209,7,[-16.72449901  13.13470491],[-15.64516491  13.22257028],20.4843244956
155,0.314568802669,16,[-11.28525615  -1.43670502],[ -1.25162845e+01  -1.62927595e-05],12.5162845377
156,0.0588256218777,7,[ 3.52202537  2.34553465],[ 3.12907411  4.40761579],5.40538451061
157,0.707779067895,15,[ 18.834028     2.91014063],[  1.87743876e+01   1.86368854e-05],18.7743876041
158,0.216109877301,14,[-10.43876719   4.52305541],[-9.38720862  4.40761078],10.3704733965
159,0.216109877262,9,[-9.18744663  6.17468605],[-9.38720861  4.40760545],10.3704711251
160,0.529427598421,9,[ -8.70960578  11.75690214],[ -9.38711369  13.22269328],16.2159650012
161,0.705278093879,2437,[ -6.6541664  -14.62663351],[ -6.25803506 -17.63021029],18.7079479854
162,0.530677993572,15,[ 15.31886272   6.36678594],[ 15.64532145   4.40753526],16.254305596
163,0.23530198883,811,[ 4.53464355 -7.95082173],[ 6.25812709 -8.81519247],10.8107249105
164,0.529427598421,9,[ -8.81897517 -14.35917317],[ -9.38711386 -13.22269326],16.2159650857
165,0.998777259215,618,[  3.96733928  19.41796067],[  3.12896802  22.03763958],22.25866122
166,1.15605677718,483,[-10.22605566  19.37593625],[ -9.38691559  22.0375273 ],23.9534296886
167,1.78457248978e-12,6,[ 0.68516502  1.79577951],[ -9.14140905e-07   2.32751264e-06],2.50059366341e-06
168,0.372145028739,10000,[ -4.56566315 -11.52258124],[ -3.12952723 -13.22275883],13.5880569543
169,0.216109877291,13,[ 10.3521779   -5.66897659],[ 9.38720862 -4.40760954],10.3704728675
170,5.12868636449e-11,7,[ 2.14725565 -0.92941919],[ -9.22631277e-08  -1.42654371e-05],1.42657354506e-05
171,1.33440229322,15,[ 17.21111362 -17.04478763],[ 18.77400946 -17.6298388 ],25.7541190375
172,0.86443566999,8,[ 19.86355264   8.04964888],[ 18.77429354   8.81499642],20.7407391302
173,0.216109877252,12,[ 11.9177333   -4.46105082],[ 9.38720861 -4.40760355],10.3704703116
174,1.30817578992e-11,8,[ 0.76009819 -2.89306513],[  4.64431078e-06  -2.99057815e-06],5.5238736666e-06
175,0.705278093879,1062,[  3.91993865  16.6983975 ],[  6.25803505  17.63021029],18.7079479833
176,0.0588256218933,103,[-0.75240245  5.40667958],[-3.12907806  4.40761554],5.4053865997
177,0.864435669942,6,[-19.16839824  10.85399152],[-18.7742937    8.81503002],20.7407535594
178,0.216109877266,15,[-7.0730987   4.77378593],[-9.38720861  4.40760607],10.3704713873
179,0.235301988797,8,[-7.63893263  9.82981459],[-6.25811872  8.81519308],10.8107205595
180,0.529427598423,2222,[ 10.812367    11.95513019],[  9.38711703  13.22269164],16.2159655999
181,0.0588256218931,380,[ 0.67573752  4.37362396],[ 3.12907803  4.40761555],5.4053865844
182,0.530677993563,16,[-14.98153738  -7.1694187 ],[-15.64532151  -4.40756256],16.2543130578
183,0.471227368062,7,[ 18.71568565   4.5624735 ],[ 12.51622731   8.81513508],15.3089043549
184,0.0588256218931,500,[-2.50046173  7.18416355],[-3.12907803  4.40761555],5.4053865849
185,0.843992571212,15,[-13.94073898  11.76441125],[-15.64516492  13.22257071],20.4843247699
186,0.372144910884,10000,[  5.93711581 -13.43440544],[  3.12907226 -13.22275945],13.5879527785
187,0.372144912203,10000,[ -5.33863615  12.82063405],[ -3.12910109  13.22275941],13.5879593795
188,0.23530198883,856,[  5.34121174  11.18483479],[ 6.25812707  8.81519248],10.8107248998
189,0.471227368089,9,[-13.06167785  -7.30583454],[-12.51622214  -8.81511158],15.3088865947
190,0.0786422498475,13,[-6.91786898  0.0615263 ],[ -6.25815009e+00   1.63780747e-05],6.25815009172
191,0.0786422498186,9,[-6.35681795  3.5492581 ],[ -6.25815009e+00  -1.23910570e-05],6.25815009172
192,0.372144910668,10000,[ -2.19981367 -10.60815052],[ -3.12906437 -13.22275946],13.5879509707
193,1.33440229324,15,[ 18.36351145  19.4247613 ],[ 18.77400943  17.62983625],25.7541172713
194,0.314568802636,10,[-14.58182526   1.68741193],[ -1.25162845e+01  -1.14997563e-05],12.5162845377
195,0.216109877291,13,[ 7.99139369 -4.48430752],[ 9.38720862 -4.40760952],10.3704728575
196,0.705278093879,2761,[  3.91562452 -18.03105875],[  6.25803506 -17.63021029],18.7079479843
197,0.216109877253,15,[ 8.55732866  2.59430372],[ 9.38720858  4.40758343],10.3704617371
198,0.372144912196,10000,[  3.58372945 -11.77623338],[  3.12898101 -13.22275957],13.587931884
199,0.530677993571,17,[-13.36731416  -3.41683442],[-15.64532152  -4.40756372],16.2543133763
200,0.941199925912,852,[-13.93481223 -17.72336648],[-12.51602375 -17.63007658],21.6210649823
201,0.941199925865,8,[ 15.1189436   17.23305716],[ 12.51603132  17.63007657],21.6210693455
202,0.471227368068,16,[-14.50362119  -9.69871262],[-12.51622223  -8.81513874],15.3089023108
203,0.216109877272,13,[ 16.58241649   7.47427726],[ 9.38720858  4.40758028],10.3704603942
204,1.33440229322,12,[ 18.05186765 -19.43323554],[ 18.77400946 -17.62983873],25.7541189867
205,0.707779067836,18,[-19.871966    -2.30226207],[ -1.87743876e+01  -1.06337564e-05],18.7743876042
206,1.15605677718,328,[ -9.26616298  18.80523453],[ -9.38691558  22.0375273 ],23.9534296836
207,0.941199925912,1324,[-15.19827024  17.08310974],[-12.51604375  17.63007644],21.621076442
208,0.705278093879,1004,[ -6.17319633 -17.01705116],[ -6.25801505 -17.63021037],18.7079413594
209,0.843992571276,13,[ 15.57012711 -14.11954624],[ 15.64516497 -13.2225792 ],20.484330296
210,0.705278093879,2929,[ -5.20353918 -18.37328798],[ -6.25803505 -17.63021029],18.7079479829
211,0.23530198883,872,[-7.9625946   8.00779942],[-6.25812705  8.81519248],10.8107248884
212,0.530677993561,15,[ 15.92177117  -7.96154069],[ 15.64532146  -4.40753689],16.2543060433
213,0.626637414718,1138,[  1.40420714  18.03454548],[  9.99361734e-06   1.76302549e+01],17.6302548503
214,0.471227368095,8,[ 10.78758534   9.531951  ],[ 12.51622213   8.81511078],15.3088861293
215,0.156660152402,10000,[-1.13952948  6.41227765],[  2.13816809e-04   8.81521490e+00],8.81521489818
216,0.864435669937,13,[ 19.17822328 -11.23501741],[ 18.77429357  -8.8150029 ],20.7407419137
217,0.471227368064,20,[ 14.93950297   7.48694701],[ 12.51622223   8.81513819],15.3089019946
218,0.471227368071,16,[-13.93509003  10.57232644],[-12.51622223   8.81513937],15.3089026736
219,0.47122736809,15,[ 12.1363504  -11.55456474],[ 12.51622224  -8.81514199],15.3089041943
220,0.941199925892,8,[ 13.81267124 -18.1503685 ],[ 12.51602601 -17.63007664],21.6210663288
221,0.372351871646,10000,[  1.4204578  -14.68166728],[  3.14937415 -13.22271073],13.5925949217
222,0.314568802678,7,[-13.45161353   1.07669959],[ -1.25162845e+01  -1.73071354e-05],12.5162845372
223,0.471227368102,13,[-12.38614146  -5.94672531],[-12.51622213  -8.81510999],15.3088856698
224,0.23530198883,828,[-6.85699733 -5.96555686],[-6.25812709 -8.81519248],10.8107249061
225,0.843992571228,15,[ 17.73628087 -12.02602463],[ 15.64516475 -13.22254648],20.4843090075
226,0.235301988797,10,[  7.01146953 -11.41016746],[ 6.25811856 -8.81519313],10.8107205084
227,0.216109877296,6,[ 9.31205557 -3.72510804],[ 9.38720862 -4.40761025],10.3704731697
228,0.235301988797,10,[ -5.4843597  -11.76737797],[-6.25811847 -8.81519316],10.8107204752
229,0.843992571213,17,[-15.46042262  11.00812621],[-15.64516492  13.22257098],20.4843249518
230,0.530677993558,16,[ 16.99074894  -4.21760128],[ 15.64532146  -4.40753747],16.2543062007
231,0.529427598423,4411,[  8.49944876  16.11281138],[  9.38711703  13.22269164],16.2159656003
232,0.941199925912,887,[ 11.53823978 -19.92640639],[ 12.51604375 -17.63007644],21.621076444
233,0.843992571215,17,[ 16.81513548 -13.94823979],[ 15.64516492 -13.22257135],20.4843251913
234,0.529427598423,2233,[ 10.26650847 -13.77422801],[  9.38711703 -13.22269164],16.2159655991
235,0.23530198883,834,[  6.18768156 -12.70529881],[ 6.25812707 -8.81519248],10.8107248973
236,0.864435669948,10,[ 18.60726278  -5.42077019],[ 18.77429356  -8.81500125],20.7407412073
237,0.53067799357,9,[-15.30917074  -5.86692343],[-15.64532152  -4.40756358],16.2543133377
238,0.626637414718,1686,[ -1.04757049  17.82073878],[  9.99413026e-06   1.76302549e+01],17.6302548503
239,0.0588256218932,621,[-3.8148666  -7.49522684],[-3.12907804 -4.40761555],5.40538658582
240,0.53067799359,11,[ 14.7387665    6.46127747],[ 15.64532145   4.40753303],16.2543049866
241,0.0588256218935,632,[ 3.73904517 -7.53858929],[ 3.12907809 -4.40761554],5.4053866196
242,0.864435669934,9,[-17.13972454   9.23204561],[-18.77429357   8.81500334],20.7407421036
243,0.843992571256,14,[-15.49834631 -10.70201853],[-15.64516473 -13.22254287],20.4843066621
244,0.626637414718,2807,[ -1.58676812 -17.22485942],[  9.99085515e-06  -1.76302549e+01],17.6302548503
245,0.707779067861,16,[-18.61156104   1.42943952],[ -1.87743876e+01   1.45934484e-05],18.7743876042
246,0.705278093857,6,[ -7.09816039 -18.53459019],[ -6.2580326  -17.63021114],18.7079479614
247,0.707779067875,16,[-18.09358378  -0.90032683],[ -1.87743876e+01  -1.63910128e-05],18.7743876041
248,0.941199925912,594,[-13.09137676  16.32926189],[-12.51604375  17.63007644],21.6210764414
249,0.0786422498616,10,[-7.3392741   1.52687833],[ -6.25815009e+00  -1.80054511e-05],6.25815009173
250,6.26831919703e-13,7,[ 1.36075912 -0.24344527],[ -5.25265006e-07  -1.39200571e-06],1.48781155113e-06
251,0.529427598423,3939,[-15.54914145 -17.46390531],[ -9.38711703 -13.22269164],16.2159655989
252,1.33440229323,8,[-18.1309271   19.99737641],[-18.77400945  17.62983768],25.7541182618
253,0.216109877262,10,[-8.62150433  4.76725767],[-9.38720858  4.40758185],10.3704610636
254,0.372144939817,10000,[ -0.7098755   13.75574791],[ -3.12879855  13.22275981],13.5878901021
255,0.53067799357,17,[-16.42101089  -6.96197028],[-15.64532152  -4.40756356],16.2543133319
256,0.626637414718,1054,[  2.33437955  18.8271722 ],[  9.99284175e-06   1.76302549e+01],17.6302548503
257,1.19348975147e-13,8,[-0.64643955  2.78208361],[ -4.66643044e-07   1.99717449e-07],5.07585254197e-07
258,1.33440229327,15,[ 17.247405   -17.93298973],[ 18.77400983 -17.62987262],25.7541424566
259,0.529427598423,3626,[ -9.27967891  13.91592692],[ -9.38711703  13.22269164],16.2159655985
260,0.372144955,10000,[ -3.39949987 -10.13450825],[ -3.12933951 -13.22275909],13.5880139718
261,0.626637414718,924,[  0.36177484  19.07279408],[ -1.00035064e-05   1.76302549e+01],17.6302548503
262,0.529427598423,701,[-10.5265072   13.11069704],[ -9.38711703  13.22269164],16.2159655995
263,0.0588256218934,426,[ 2.61141056  7.31738649],[ 3.12907808  4.40761554],5.40538660889
264,1.31583901976,12,[-19.47539152 -13.24195638],[-21.9031743  -13.22234791],25.584751882
265,0.156660136707,10000,[ 1.71311078 -8.09374101],[ -1.20058170e-04  -8.81521490e+00],8.81521489749
266,0.0786422498171,16,[-7.88078767  2.08224878],[ -6.25815009e+00  -1.21516862e-05],6.25815009172
267,0.529427598421,6,[ -9.48824508  11.74077101],[ -9.38711638  13.22269319],16.21596649
268,0.0588256218931,327,[-5.33565069 -3.1913857 ],[-3.12907802 -4.40761555],5.40538657981
269,0.530677993615,14,[-15.01536229   4.55287501],[-15.64532153   4.40756894],16.2543148029
270,0.23530198883,837,[  6.11928796 -10.40208771],[ 6.25812709 -8.81519247],10.8107249091
271,1.33440229321,11,[-17.63376483  18.61470889],[-18.77400975  17.62986539],25.7541374465
272,0.0786422498145,10,[-5.12152648 -0.3293821 ],[ -6.25815009e+00   1.17041711e-05],6.25815009172
273,1.33440229321,16,[ 19.11529719 -19.07213688],[ 18.77400974 -17.62986503],25.7541372016
274,1.12687636999e-13,8,[ 2.74027495  0.1390177 ],[  9.16128820e-08   6.56152746e-07],6.62517431271e-07
275,0.529427598475,5,[  9.46085595 -11.66552461],[  9.38711433 -13.22267833],16.2159531832
276,0.372144911379,10000,[ -1.50828059 -12.01579373],[ -3.12908532 -13.22275943],13.5879557689
277,0.530677993567,8,[-15.65318238  -2.12218665],[-15.64532145  -4.40753603],16.2543058077
278,0.37214491121,10000,[  6.01782901 -13.71245955],[  3.12908135 -13.22275944],13.58795486
279,0.529427598437,6,[  9.27281609 -11.07602507],[  9.3871178  -13.22268602],16.2159614626
